中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
150.136.87.192,443,150.136.87.192,US,Ashburn,中转,7 ms,92 Mbps,11878 kB/s,11878.0
158.180.82.186,443,2603:c024:13:6c00::4,KR,Seoul,隧道,203 ms,92 Mbps,11878 kB/s,11878.0
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,20 ms,87 Mbps,11161 kB/s,11161.0
152.70.90.168,443,2603:c022:8004:1505::5,KR,Seoul,隧道,192 ms,82 Mbps,10547 kB/s,10547.0
129.154.50.159,443,129.154.50.159,KR,Seoul,中转,185 ms,82 Mbps,10547 kB/s,10547.0
158.180.92.59,443,158.180.92.59,KR,Seoul,中转,210 ms,81 Mbps,10444 kB/s,10444.0
8.218.202.1,443,240b:4001:278:8402:ffff:4062:176f:75ab,HK,Hong Kong,隧道,238 ms,80 Mbps,10240 kB/s,10240.0
152.67.203.34,443,104.28.207.57,KR,Seoul,隧道,204 ms,80 Mbps,10240 kB/s,10240.0
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,234 ms,79 Mbps,10137 kB/s,10137.0
141.147.163.68,443,141.147.163.68,JP,Tokyo,中转,272 ms,78 Mbps,10035 kB/s,10035.0
129.154.207.203,443,2a09:bac1:3f00:90::22:13c,KR,Seoul,隧道,201 ms,77 Mbps,9972 kB/s,9972.0
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,210 ms,74 Mbps,9577 kB/s,9577.0
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,223 ms,74 Mbps,9488 kB/s,9488.0
150.230.221.148,443,150.230.221.148,JP,Tokyo,中转,273 ms,72 Mbps,9239 kB/s,9239.0
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,230 ms,71 Mbps,9150 kB/s,9150.0
8.212.48.236,443,47.76.21.105,HK,Hong Kong,隧道,257 ms,70 Mbps,9020 kB/s,9020.0
129.146.7.98,443,2a09:bac1:7680:e18::26b:a5,US,Los Angeles,隧道,73 ms,69 Mbps,8885 kB/s,8885.0
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,46 ms,69 Mbps,8871 kB/s,8871.0
141.147.184.160,443,141.147.184.160,JP,Tokyo,中转,255 ms,68 Mbps,8770 kB/s,8770.0
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,215 ms,68 Mbps,8752 kB/s,8752.0
8.219.162.213,443,47.245.125.52,SG,Singapore,隧道,245 ms,68 Mbps,8705 kB/s,8705.0
